LFQ intensity 1_14012022_20220114150835	LFQ intensity 2_14012022	LFQ intensity 3_14012022	LFQ intensity 4_14012022	LFQ intensity 5_14012022	LFQ intensity 6_14012022	LFQ intensity 7_14012022	LFQ intensity 8_14012022	LFQ intensity 9_14012022	LFQ intensity 10_14012022	LFQ intensity 11_14012022	LFQ intensity 12_14012022	LFQ intensity 13_14012022	LFQ intensity 14_14012022	LFQ intensity 15_14012022	LFQ intensity 16_14012022	LFQ intensity 17_14012022	LFQ intensity 18_14012022	LFQ intensity 19_14012022	LFQ intensity 20_14012022	LFQ intensity 21_14012022	LFQ intensity 22_14012022	LFQ intensity 23_14012022	LFQ intensity 24_14012022	LFQ intensity 25_14012022	LFQ intensity 26_14012022	LFQ intensity 27_14012022	LFQ intensity 28_14012022_20220119082438	LFQ intensity 29_14012022_20220119110854	LFQ intensity 30_14012022_20220119135302	LFQ intensity 31_14012022_20220119163708	LFQ intensity 32_14012022_20220119192113	LFQ intensity 33_14012022_20220119220519	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
NaN	18.0635528564453	NaN	NaN	18.0313892364502	17.7226734161377	NaN	18.3607177734375	18.0081005096436	17.8849449157715	19.0278568267822	17.7345638275146	18.6759700775146	19.7166423797607	20.8536911010742	NaN	18.9249744415283	19.3538875579834	NaN	19.3772945404053	20.1720657348633	19.0694122314453	NaN	18.9786052703857	18.3843536376953	NaN	NaN	NaN	17.390287399292	NaN	NaN	19.0836620330811	NaN				12	5	5	26.6	16.4	16.4	61.927	0	32.859	33122000	47	A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1	A0A024R571;Q9H4M9;C9JC03;C9J2Z4	EH domain-containing protein 1	EHD1	0
NaN	NaN	NaN	NaN	19.8621311187744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.6015930175781	20.2844409942627	20.5298385620117	NaN	20.4515132904053	NaN	NaN	20.555248260498	20.9066848754883	20.1986846923828	20.6721076965332	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	23.1	23.1	23.1	12.446	0	71.019	49107000	41	P80748;A0A075B6K5;A0A075B6K2	P80748;A0A075B6K5;A0A075B6K2	Ig lambda chain V-III region LOI	IGLV3-9;IGLV3-12	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5725975036621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.1992130279541	18.520450592041	NaN	NaN	NaN	NaN	NaN	NaN	17.8185329437256	NaN	17.9128665924072	NaN	18.0581722259521	18.0538311004639	18.2461833953857	NaN	NaN				1	1	1	13.7	13.7	13.7	13.016	0	17.15	7888100	11	P0DP08;A0A087WW49;A0A075B6R2;P0DP07;P0DP06;A0A0C4DH41;A0A087WSY4;P01825;P06331;P01824	P0DP08;A0A087WW49;A0A075B6R2;P0DP07;P0DP06;A0A0C4DH41;A0A087WSY4;P01825;P06331;P01824	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	IGHV4-4;IGHV4-61;IGHV4-31	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	13.9	13.9	13.9	12.537	0.0065789	3.093	4239500	3	A0A0C4DH67;A0A0C4DH69;A0A075B6S5	A0A0C4DH67;A0A0C4DH69;A0A075B6S5		IGKV1-8;IGKV1-9;IGKV1-27	3
20.5155696868896	20.6055774688721	NaN	20.9140777587891	19.1693515777588	20.5047492980957	20.2056217193604	20.4539260864258	20.8018341064453	20.7870807647705	20.6003227233887	20.1141338348389	20.3409328460693	20.4788208007813	20.126033782959	20.7364482879639	21.0184211730957	20.9358177185059	NaN	NaN	NaN	20.7287483215332	20.0289096832275	21.1862239837646	21.095645904541	20.1037998199463	20.4453620910645	19.5491485595703	20.5759792327881	21.9633865356445	20.6103610992432	21.493408203125	22.189001083374				9	9	9	29.8	29.8	29.8	44.022	0	73.991	154680000	57	A0A087WSY5;Q96IY4;A0A6Q8PHS9;A0A6Q8PG06;CON__Q2KIG3	A0A087WSY5;Q96IY4	Carboxypeptidase B2	CPB2	4
21.6094608306885	22.0559635162354	NaN	21.0101776123047	22.1646900177002	21.3737964630127	21.6993923187256	21.8778495788574	22.6143665313721	21.6202869415283	23.0189800262451	22.9962100982666	22.7212982177734	23.1872959136963	23.5311241149902	22.5071220397949	21.9883251190186	22.5754718780518	NaN	22.1640758514404	21.9859657287598	20.3453788757324	NaN	21.3972301483154	21.4650821685791	22.9359264373779	19.0432147979736	23.2738380432129	20.1174354553223	18.4122886657715	17.7449779510498	NaN	18.1923885345459				9	9	9	88.7	88.7	88.7	12.633	0	283.76	401390000	180	A0A087WT59;P02766	A0A087WT59;P02766	Transthyretin	TTR	5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	3.6	3.6	3.6	76.368	0.0070175	3.5245	3758000	2	A0A7P0TAY2;A0A7P0T917;A0A087WT78;A0A7P0TAE1;H0YIV0;A0A7P0T823;A0A7P0TAT8;P14625;A0A7P0TBC2;Q58FF3	A0A7P0TAY2;A0A7P0T917;A0A087WT78;A0A7P0TAE1;H0YIV0;A0A7P0T823;A0A7P0TAT8;P14625;A0A7P0TBC2;Q58FF3	Endoplasmin;Putative endoplasmin-like protein	HSP90B1;HSP90B2P	6
NaN	NaN	23.7999591827393	NaN	NaN	NaN	20.5262126922607	19.9742126464844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5913791656494	21.2247619628906	NaN	NaN	21.6816177368164	21.350513458252	20.690128326416	21.0190315246582	20.2763977050781	19.8918876647949	20.2135925292969	NaN	20.1866455078125				3	3	3	9.3	9.3	9.3	40.853	0	9.1959	27236000	44	A0A7I2V3H3;A0A7I2V5N4;A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A2U3TZH3;Q05639	A0A7I2V3H3;A0A7I2V5N4;A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104	Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1	EEF1A1;EEF1A1P5	7
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.6951503753662	21.2268810272217	23.0152244567871	21.764741897583	20.7135581970215	20.9439220428467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				5	2	2	25.1	10.1	10.1	26.42	0	14.749	82405000	29	A0A087WWU8;D6R904;J3KN67;Q5VU61	A0A087WWU8;D6R904;J3KN67		TPM3	8
